sale_id,date,day_of_week,product_name,category,size,color,quantity_sold,price (Rs.),discount (%),total_amount (Rs.),payment_method,customer_gender,age_group,store_section,invoice_id,transaction_time,sku_id
S000001,2026-08-01,Saturday,Sandals,Footwear,6,Gold,3,999.00,0,2997.00,Cash,Female,Young Adult (20-30),Women,INV000001,16:42:00,P21-6-GOLD
S000002,2026-08-01,Saturday,Basic Crew T-Shirt,Tops,L,White,1,399.00,0,399.00,Cash,Female,Young Adult (20-30),Men,INV000001,16:42:00,P01-L-WHITE
S000003,2026-08-01,Saturday,Polo T-Shirt,Tops,M,Maroon,1,699.00,0,699.00,UPI,Male,Young Adult (20-30),Men,INV000002,21:21:00,P02-M-MAROON
S000004,2026-08-01,Saturday,Flip Flops,Footwear,10,Grey,1,399.00,0,399.00,UPI,Male,Young Adult (20-30),Men,INV000002,21:21:00,P23-10-GREY
S000005,2026-08-01,Saturday,Kids Sports Shoes,Footwear,11C,Pink,1,899.00,0,899.00,Card,Female,Adult (31-45),Kids,INV000003,10:34:00,P22-11C-PINK
S000006,2026-08-01,Saturday,Kids Ethnic Kurta Set,Ethnic Wear,6-7Y,Maroon,1,999.00,0,999.00,UPI,Female,Young Adult (20-30),Kids,INV000004,15:19:00,P17-67Y-MAROON
S000007,2026-08-01,Saturday,Kids Denim Shorts,Bottoms,2-3Y,Blue,1,599.00,0,599.00,Cash,Female,Teen (13-19),Kids,INV000005,14:23:00,P16-23Y-BLUE
S000008,2026-08-01,Saturday,Chino Trousers,Bottoms,34,Beige,1,1099.00,0,1099.00,UPI,Female,Adult (31-45),Men,INV000006,12:30:00,P04-34-BEIGE
S000009,2026-08-01,Saturday,Formal Shirt,Tops,L,White,1,999.00,0,999.00,Card,Male,Young Adult (20-30),Men,INV000007,14:47:00,P05-L-WHITE
S000010,2026-08-01,Saturday,Kids Denim Shorts,Bottoms,6-7Y,Black,1,599.00,0,599.00,Card,Male,Young Adult (20-30),Kids,INV000007,14:47:00,P16-67Y-BLACK
S000011,2026-08-01,Saturday,Polo T-Shirt,Tops,XL,Maroon,2,699.00,0,1398.00,UPI,Female,Young Adult (20-30),Men,INV000008,20:55:00,P02-XL-MAROON
S000012,2026-08-01,Saturday,Crop Top,Tops,M,Black,1,599.00,0,599.00,UPI,Female,Young Adult (20-30),Women,INV000008,20:55:00,P11-M-BLACK
S000013,2026-08-01,Saturday,Printed Top,Tops,XS,Blue,1,699.00,0,699.00,Card,Male,Young Adult (20-30),Women,INV000009,13:15:00,P12-XS-BLUE
S000014,2026-08-01,Saturday,Denim Jeggings,Bottoms,M,Indigo,1,999.00,0,999.00,Card,Male,Young Adult (20-30),Women,INV000009,13:15:00,P10-M-INDIGO
S000015,2026-08-01,Saturday,Polo T-Shirt,Tops,M,Navy,1,699.00,0,699.00,Cash,Male,Young Adult (20-30),Men,INV000010,17:51:00,P02-M-NAVY
S000016,2026-08-01,Saturday,Sneakers,Footwear,9,Grey,1,1499.00,0,1499.00,Cash,Male,Young Adult (20-30),Men,INV000010,17:51:00,P20-9-GREY
S000017,2026-08-01,Saturday,Basic Crew T-Shirt,Tops,M,Black,1,399.00,0,399.00,UPI,Female,Adult (31-45),Men,INV000011,17:57:00,P01-M-BLACK
S000018,2026-08-01,Saturday,Flip Flops,Footwear,8,Navy,3,399.00,0,1197.00,UPI,Male,Adult (31-45),Men,INV000012,21:04:00,P23-8-NAVY
S000019,2026-08-01,Saturday,Graphic Tee,Tops,M,Black,1,499.00,0,499.00,Card,Female,Young Adult (20-30),Men,INV000013,20:35:00,P06-M-BLACK
S000020,2026-08-01,Saturday,Chino Trousers,Bottoms,36,Beige,1,1099.00,0,1099.00,Card,Female,Young Adult (20-30),Men,INV000013,20:35:00,P04-36-BEIGE
S000021,2026-08-01,Saturday,Printed Top,Tops,XL,White,1,699.00,0,699.00,UPI,Female,Teen (13-19),Women,INV000014,20:48:00,P12-XL-WHITE
S000022,2026-08-01,Saturday,Belt,Accessories,36,Black,1,399.00,0,399.00,UPI,Female,Teen (13-19),Accessories,INV000014,20:48:00,P26-36-BLACK
S000023,2026-08-01,Saturday,Denim Jeggings,Bottoms,XS,Indigo,1,999.00,0,999.00,UPI,Female,Teen (13-19),Women,INV000014,20:48:00,P10-XS-INDIGO
S000024,2026-08-01,Saturday,Slim Fit Jeans,Bottoms,32,Light Blue,1,1299.00,0,1299.00,UPI,Male,Teen (13-19),Men,INV000015,21:08:00,P03-32-LIGHTBLU
S000025,2026-08-01,Saturday,Sandals,Footwear,8,Black,1,999.00,0,999.00,UPI,Male,Teen (13-19),Women,INV000015,21:08:00,P21-8-BLACK
S000026,2026-08-01,Saturday,Denim Jeggings,Bottoms,S,Black,1,999.00,0,999.00,UPI,Male,Teen (13-19),Women,INV000015,21:08:00,P10-S-BLACK
S000027,2026-08-01,Saturday,Basic Crew T-Shirt,Tops,M,Black,1,399.00,0,399.00,UPI,Male,Teen (13-19),Men,INV000015,21:08:00,P01-M-BLACK
S000028,2026-08-01,Saturday,Cotton Kurti,Ethnic Wear,XS,Maroon,1,999.00,0,999.00,Card,Female,Teen (13-19),Women,INV000016,13:58:00,P07-XS-MAROON
S000029,2026-08-01,Saturday,Kids Cartoon Tee,Tops,6-7Y,Blue,1,399.00,0,399.00,Card,Female,Teen (13-19),Kids,INV000016,13:58:00,P15-67Y-BLUE
S000030,2026-08-01,Saturday,Graphic Tee,Tops,L,Red,1,499.00,0,499.00,Card,Female,Teen (13-19),Men,INV000016,13:58:00,P06-L-RED
S000031,2026-08-01,Saturday,Straight Pants,Bottoms,M,Black,1,799.00,0,799.00,Card,Female,Adult (31-45),Women,INV000017,13:52:00,P09-M-BLACK
S000032,2026-08-01,Saturday,Straight Pants,Bottoms,L,Beige,1,799.00,0,799.00,UPI,Female,Young Adult (20-30),Women,INV000018,19:40:00,P09-L-BEIGE
S000033,2026-08-01,Saturday,Polo T-Shirt,Tops,XL,Grey,1,699.00,0,699.00,UPI,Female,Young Adult (20-30),Men,INV000018,19:40:00,P02-XL-GREY
S000034,2026-08-01,Saturday,Formal Shirt,Tops,S,Blue,1,999.00,0,999.00,Cash,Male,Young Adult (20-30),Men,INV000019,16:23:00,P05-S-BLUE
S000035,2026-08-01,Saturday,Slim Fit Jeans,Bottoms,34,Light Blue,1,1299.00,0,1299.00,Cash,Male,Young Adult (20-30),Men,INV000019,16:23:00,P03-34-LIGHTBLU
S000036,2026-08-01,Saturday,Chino Trousers,Bottoms,30,Olive,1,1099.00,0,1099.00,Cash,Male,Young Adult (20-30),Men,INV000019,16:23:00,P04-30-OLIVE
S000037,2026-08-01,Saturday,Denim Jeggings,Bottoms,L,Indigo,2,999.00,0,1998.00,UPI,Female,Adult (31-45),Women,INV000020,19:28:00,P10-L-INDIGO
S000038,2026-08-01,Saturday,Sneakers,Footwear,8,White,1,1499.00,0,1499.00,Card,Male,Young Adult (20-30),Men,INV000021,13:36:00,P20-8-WHITE
S000039,2026-08-01,Saturday,Kids Cartoon Tee,Tops,8-9Y,Blue,1,399.00,0,399.00,Card,Male,Young Adult (20-30),Kids,INV000021,13:36:00,P15-89Y-BLUE
S000040,2026-08-01,Saturday,Graphic Tee,Tops,M,Red,1,499.00,0,499.00,Card,Male,Young Adult (20-30),Men,INV000021,13:36:00,P06-M-RED
S000041,2026-08-01,Saturday,Denim Jeggings,Bottoms,S,Indigo,1,999.00,0,999.00,Card,Male,Young Adult (20-30),Women,INV000021,13:36:00,P10-S-INDIGO
S000042,2026-08-01,Saturday,Printed Top,Tops,M,White,1,699.00,0,699.00,UPI,Female,Adult (31-45),Women,INV000022,20:40:00,P12-M-WHITE
S000043,2026-08-01,Saturday,Wallet,Accessories,OneSize,Tan,1,499.00,0,499.00,UPI,Female,Adult (31-45),Accessories,INV000022,20:40:00,P27-ONESIZE-TAN
S000044,2026-08-01,Saturday,Women Flats,Footwear,7,Black,1,799.00,0,799.00,UPI,Female,Young Adult (20-30),Women,INV000023,11:23:00,P32-7-BLACK
S000045,2026-08-01,Saturday,Kids Ethnic Kurta Set,Ethnic Wear,4-5Y,Mustard,1,999.00,0,999.00,UPI,Female,Young Adult (20-30),Kids,INV000023,11:23:00,P17-45Y-MUSTARD
S000046,2026-08-01,Saturday,Printed Top,Tops,L,Blue,1,699.00,0,699.00,UPI,Female,Young Adult (20-30),Women,INV000024,10:55:00,P12-L-BLUE
S000047,2026-08-01,Saturday,Graphic Tee,Tops,M,Red,1,499.00,0,499.00,UPI,Female,Young Adult (20-30),Men,INV000024,10:55:00,P06-M-RED
S000048,2026-08-01,Saturday,Sandals,Footwear,5,Black,1,999.00,0,999.00,Cash,Female,Young Adult (20-30),Women,INV000025,15:29:00,P21-5-BLACK
